"December 12, 2012 at 07:07AM",29,Partly Cloudy,46,30
"December 13, 2012 at 07:07AM",31,Mostly Cloudy,46,32
"December 14, 2012 at 07:09AM",36,Fair,49,33
"December 15, 2012 at 07:09AM",26,Fair,43,34
"December 16, 2012 at 07:09AM",40,Cloudy,43,41
"December 17, 2012 at 07:11AM",39,Cloudy,45,44
"December 18, 2012 at 07:11AM",43,Cloudy,52,38
"December 19, 2012 at 07:11AM",44,Fair,48,31
"December 20, 2012 at 07:11AM",32,Partly Cloudy,45,39
"December 21, 2012 at 07:13AM",49,Light Rain/Windy,54,35
"December 22, 2012 at 07:13AM",39,Cloudy,39,31
"December 23, 2012 at 07:13AM",37,Partly Cloudy,41,29
"December 24, 2012 at 07:13AM",35,Partly Cloudy,44,36
"December 25, 2012 at 07:13AM",34,Light Rain,43,28
"December 26, 2012 at 07:16AM",27,Fair,40,36
"December 27, 2012 at 07:16AM",39,Light Rain,44,28
"December 28, 2012 at 07:16AM",30,Partly Cloudy,39,28
"December 29, 2012 at 07:16AM",30,Partly Cloudy,36,27
"December 30, 2012 at 07:16AM",31,Fair,31,23
"December 31, 2012 at 07:16AM",30,Partly Cloudy,36,32
"January 01, 2013 at 07:16AM",40,Cloudy,39,19
"January 02, 2013 at 07:16AM",21,Partly Cloudy,33,16
"January 03, 2013 at 07:16AM",19,Mostly Cloudy,31,26
"January 04, 2013 at 07:16AM",33,Fair,36,26
"January 05, 2013 at 07:16AM",36,Mostly Cloudy,38,31
"January 06, 2013 at 07:16AM",35,Cloudy,43,32
"January 07, 2013 at 07:16AM",27,Fair,42,30
"January 08, 2013 at 07:16AM",33,Fair,46,26
"January 09, 2013 at 07:16AM",25,Partly Cloudy,49,35
"January 10, 2013 at 07:16AM",42,Fair,45,27
"January 11, 2013 at 07:16AM",31,Fair,42,40
"January 12, 2013 at 07:16AM",39,Fog,51,38
"January 13, 2013 at 07:16AM",43,Fog,50,47
"January 14, 2013 at 07:13AM",48,Fog,53,33
"January 15, 2013 at 07:13AM",37,Cloudy,41,31
"January 16, 2013 at 07:13AM",34,Freezing Rain,38,33
"January 17, 2013 at 07:13AM",38,Cloudy,42,24
"January 18, 2013 at 07:11AM",27,Partly Cloudy,30,27
"January 19, 2013 at 07:11AM",37,Cloudy,44,38
"January 20, 2013 at 07:11AM",42,Fair,45,23
"January 21, 2013 at 07:11AM",27,Partly Cloudy,33,23
"January 22, 2013 at 07:09AM",21,Light Snow,26,14
"January 23, 2013 at 07:09AM",12,Fair,23,13
"January 24, 2013 at 07:09AM",7,Mostly Cloudy,23,10
"January 25, 2013 at 07:07AM",15,Fair,27,19
"January 26, 2013 at 07:07AM",17,Fair,28,16
"January 27, 2013 at 07:05AM",18,Fair,32,18
