RA    DEC      velocity   
       155.41180      0.90025516      897.302
       175.82789      0.21251597      149.586
       185.86139     -0.41195131      108.256
       170.83558      -3.1308688      2707.16
       179.30167      -2.6865006      1536.74
       178.36936      -3.2296853      1586.27
       190.41432      -1.4451965      146.171
       191.53026      -3.2691159      1156.53
       190.49725      -3.6673641      2826.93
       236.30998      0.77217200      3652.25
       252.06846       64.223354      361.509
       251.64763       64.075395      447.473
       256.56602       60.705235      3519.87
       255.86669       61.108933      3241.34
       258.04557       61.914980      3896.12
       257.91249       60.728347      3882.18
       257.91814       60.687726      3306.33
       260.40686       60.413658      3549.72
       260.12373       60.745945      3549.96
       259.57895       60.960264      3306.43
       259.70873       56.491381      3306.38
       259.02298       56.090812      440.076
       261.54944       57.169481      3323.88
       261.79020       60.028346      3309.91
       261.38657       55.656532      3246.57
       331.54902       1.0519620      2774.82
       343.50311      -1.2720264      3555.61
       343.80282     -0.35053973      272.682
       345.66511      -1.2306975      3657.07
       344.21175     -0.84258993      2990.56
       345.36015      0.86520767      2910.84
       347.67497      -1.1635445      3676.83
       347.32526     -0.92901938      3662.47
       349.99166     -0.98554996      3621.05
       2.4601797     -0.91776743      3971.19
       3.4334360      0.37179533      3915.50
       7.3202609      -1.0067413      3971.07
       10.349296    -0.064959654      3933.88
       13.236447      -1.1744265      191.976
       18.032325      -1.0006994      3713.41
       20.503066      0.27013168      3753.01
       28.999019     -0.18556025      3585.26
       32.638280      0.73815683      3451.45
       45.749195      -1.0818073      3900.52
       45.547349      -1.1666757      3933.56
       46.241517      0.95393544      3501.24
       46.695869      0.46912870      766.628
       8.8513840       14.795315      258.032
       14.932666       14.567759      102.696
       20.763286       15.211574      3975.55
       23.468974       13.702644      2755.99
       24.501280       14.982833      776.228
       30.008068       12.538409      3453.43
       25.531028       13.293272      815.927
       114.80730       37.676874      3898.21
       114.96668       37.821037      3902.00
       123.16477       48.612944      803.910
       131.71889       54.111736      848.243
       130.16783       53.777959      3849.29
       129.55255       54.082940      3844.16
       134.28565       53.816801      2540.10
       138.33428       54.633524      3962.83
       136.29031       55.564885      3827.49
       140.00877       56.356653      3866.32
       45.102690      -8.0913071      189.905
       43.444620      -7.3955695      1306.46
       47.118743      -7.8191555      3473.44
       48.453643      -8.1473543      3842.68
       47.823927      -8.0800354      3716.37
       48.027867      -8.2325766      3820.62
       47.396758      -7.9570371      3576.39
       48.910964      -7.0788111      3694.19
       51.567858      -7.0369050      3895.54
       52.465612      -7.6750789      3521.81
       54.808014      -6.6457755      3932.42
       53.949304      -6.7180832      3546.98
       54.360183      -5.5363245      3781.06
       54.517413      -5.3523914      3793.90
       58.184234      -6.9857042      3912.77
       57.750138      -7.2427281      3782.20
       56.485304      -5.1421688      3684.83
       56.816290      -4.9549578      3775.12
       57.667502      -5.5538214      3899.88
       61.151394      -6.5464980      3859.00
       62.552730      -5.0077424      76.7338
       62.518776      -4.9566415      79.3387
       138.26595       2.0206580      3962.96
       138.34366    -0.072431937      1107.06
       148.17261       2.1328220      3749.10
       148.02273       62.352750      929.921
       155.45553       64.299333      802.846
       155.45641       65.370428      3271.43
       160.85313       66.260940      3577.60
       164.42484       65.594479      3519.60
       165.13158       65.812896      3489.17
       163.72604       66.029171      3528.44
       161.51906       65.774364      3609.41
       171.36161       65.768640      1409.99
       177.13435       67.937378      59.8707
       180.34295       2.1856644      1149.90
       188.19354       1.5690633      1668.37
       190.61764       2.7235376      748.661
       191.63848       3.2996993      890.807
       191.93543       3.5624460      95.2987
       193.35082       1.9313990      1038.69
       225.67652       2.0589091      2021.95
       226.28045       1.9978552      2337.53
       113.86490       31.828098      375.048
       113.65611       31.751858      347.462
       133.22295       51.396556      885.567
       148.72924       56.607835      1934.51
       151.88111       57.729136      3099.62
       156.63509       58.312952      3306.43
       155.06583       58.530123      3289.23
       134.97647       3.9938465      3836.16
       135.10372       3.4604371      3726.22
       137.31670       4.1131580      3933.41
       138.17860       3.6611991      3958.63
       141.49289       3.0293769      3791.19
       140.92801       3.3668464      3698.27
       141.07750       4.2378437      3776.04
       147.17529       3.6901286      3148.43
       154.25971       3.6459968      1274.01
       157.98326       4.0033473      2939.16
       157.90533       4.5728213      1395.93
       160.69601       4.5311436      3345.60
       163.02764       3.9033340      3962.61
       165.15479       4.0653255      3850.71
       234.77106       3.6382826      3639.54
       234.82181       3.6610413      3644.78
       235.89342       3.7460307      3336.71
       169.49554       64.510123      3602.01
       173.42168       63.823938      2378.14
       172.79264       63.638132      3563.93
       172.34761       63.659311      3720.40
       172.49724       63.223426      1343.46
       171.90860       63.313154      3749.88
       171.76190       63.533649      3678.05
       171.67187       63.482575      3732.96
       176.47254       63.903130      3820.92
       177.41996       65.928811      1880.41
       193.67080       63.890435      863.590
       224.12982       59.593993      863.129
       229.01867       56.272726      778.361
       228.05214       57.001636      950.188
       229.82344       60.576544      2612.37
       232.52965       55.575915      3263.37
       231.36860       54.853642      2648.43
       229.12146       55.519082      3305.25
       232.77039       55.738107      3279.12
       233.35230       56.608801      3454.74
       233.35679       56.699056      3284.67
       233.86444       56.032812      3302.52
       234.51143       57.504991      3464.01
       235.58426       53.529487      3713.21
       235.92586       53.662318      3446.35
       235.88288       57.242874      3886.38
       234.68637       56.713781      3136.64
       236.29344       58.066609      3779.22
       236.32602       57.409845      3887.39
       236.14315       57.215055      3480.49
       235.22637       56.860877      3351.09
       238.66432       55.685062      3359.68
       241.41795       50.754525      3720.14
       242.22731       51.068596      3680.37
       243.03142       49.098606      3762.47
       244.37959       50.745539      3942.43
       242.80916       51.192440      3747.54
       244.09805       47.033981      1027.01
       246.97287       48.424883      3910.72
       249.12916       46.324850      2478.33
       308.99398      -6.8874018      3765.94
       309.48143      -4.5834510      3557.64
       310.46197      -4.9069286      3601.04
       310.48713      -5.2989031      3400.28
       321.97304      -7.0205156      3193.08
       354.96684      -10.227603      3400.82
       3.4392051      -9.9343411      3809.60
       7.8409839      -10.407045      3646.77
       7.8425041      -10.378400      3517.24
       7.8648038      -10.675884      3514.76
       11.966005      -11.174866      3930.76
       11.536677      -10.408613      3876.68
       19.809537      -9.5961574      1731.24
       21.184940      -8.8435457      3889.68
       21.854700      -8.6892541      3887.00
       23.092897      -8.6340018      3865.61
       26.149064      -8.2516805      3844.35
       27.986741      -9.3406350      3848.70
       28.817781      -8.8543104      3837.51
       30.819280      -9.8906718      3771.81
       30.992695      -8.0489669      3831.77
       32.271456      -9.7003870      3714.92
       32.152924      -9.9377379      3872.43
       32.330325      -9.8676322      3727.48
       32.001408      -7.8652822      3786.76
       31.933734      -8.0094262      3795.93
       32.217499      -7.8463481      3841.02
       32.270752      -7.7938111      3671.25
       32.158344      -7.9039201      3720.29
       32.236131      -8.1729573      3714.73
       32.264065      -7.8474423      3660.71
       32.181566      -7.8303792      3896.25
       32.455470      -7.7823796      3671.88
       33.176902      -8.4624185      3790.36
       35.480616      -9.4762382      3568.06
       35.245037      -9.5286119      3670.97
       34.720453      -9.2052309      3674.18
       34.590112      -9.2911107      3676.39
       34.213310      -8.9639863      3801.94
       33.430429      -8.5091132      3757.11
       345.78466     -0.53573929      2383.37
       344.54541   -0.0072242773      3518.82
       345.78312     -0.41202609      324.011
